program_code,year,placed_count,placed_pref_rank_avg,placed_top_1_pref_count,placed_top_3_pref_count,placed_top_10_pref_count,placed_rank_1_count,placed_rank_2_count,placed_rank_3_count,placed_rank_4_count,placed_rank_5_count,placed_rank_6_count,placed_rank_7_count,placed_rank_8_count,placed_rank_9_count,placed_rank_10_count,placed_rank_11_count,placed_rank_12_count,placed_rank_13_count,placed_rank_14_count,placed_rank_15_count,placed_rank_16_count,placed_rank_17_count,placed_rank_18_count,placed_rank_19_count,placed_rank_20_count,placed_rank_21_count,placed_rank_22_count,placed_rank_23_count,placed_rank_24_count
101051376,2020,1538,2.8,1005,1252,1443,1005,166,81,45,42,24,27,18,13,22,14,15,5,6,7,6,2,4,2,7,8,5,7,7
101150977,2020,72,9.8,5,16,40,5,4,7,2,4,4,4,6,3,1,4,5,3,2,2,1,4,3,3,2,0,0,2,1
107351046,2020,52,10.1,4,9,27,4,4,1,3,4,3,0,4,3,1,3,3,2,5,2,2,0,1,1,2,2,1,1,0
200390132,2020,1,5.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103650657,2020,62,8.7,10,15,43,10,1,4,5,4,5,3,4,2,5,2,2,1,1,2,2,1,1,1,1,0,1,1,3
207650838,2020,25,3.0,13,17,24,13,4,0,1,3,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
202552153,2020,7,6.9,1,1,6,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
205090085,2020,20,7.0,2,10,14,2,5,3,2,0,1,1,0,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,1
202590269,2020,10,2.8,4,7,10,4,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207650829,2020,5,4.8,0,3,5,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200350941,2020,4,9.3,0,1,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101370272,2020,41,9.2,0,9,29,0,3,6,0,3,5,2,4,4,2,1,1,0,2,0,2,1,1,1,0,1,0,1,1
206552026,2020,9,5.1,2,4,8,2,2,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
205090084,2020,9,6.6,2,5,6,2,2,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
108890242,2020,103,6.8,14,39,79,14,14,11,15,10,7,1,4,3,0,2,1,2,3,2,0,2,3,3,0,2,2,1,1
206552044,2020,48,4.4,14,26,42,14,7,5,5,5,0,3,2,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0
104790054,2020,41,11.7,3,4,19,3,1,0,2,2,2,2,4,1,2,1,1,2,2,3,2,1,2,3,1,2,1,1,0
106090061,2020,41,9.2,7,15,26,7,8,0,2,2,3,2,1,0,1,1,0,1,1,0,0,2,1,1,1,1,2,2,2
105650969,2020,185,4.0,100,139,162,100,27,12,6,6,0,2,4,4,1,0,3,0,5,2,1,2,0,1,1,2,4,0,2
110290120,2020,31,5.1,7,13,29,7,1,5,5,3,2,0,2,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0
200390133,2020,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107890030,2020,47,9.9,7,9,27,7,1,1,3,3,3,0,2,2,5,1,2,3,2,2,2,3,0,1,1,0,0,1,2
104590132,2020,41,8.9,3,7,27,3,2,2,4,3,6,1,0,2,4,3,0,1,1,1,3,2,1,0,0,1,0,0,1
103290214,2020,47,10.0,3,8,27,3,1,4,2,5,3,2,1,5,1,2,2,2,3,1,1,2,2,0,1,1,1,2,0
107690154,2020,47,8.9,6,13,28,6,4,3,6,1,1,1,2,2,2,3,1,0,1,6,1,2,1,1,1,1,0,0,1
103390149,2020,52,10.8,6,12,26,6,3,3,3,1,2,2,2,1,3,2,4,1,1,2,3,2,0,0,4,4,1,1,1
108690161,2020,31,11.6,0,4,12,0,2,2,1,2,1,1,1,1,1,3,3,3,0,2,0,1,2,1,0,1,3,0,0
101190341,2020,82,4.3,41,53,73,41,9,3,4,6,3,2,2,0,3,1,0,0,1,0,1,1,1,2,0,1,0,0,1
101451981,2020,1538,3.0,675,1220,1455,675,436,109,89,52,28,20,15,19,12,16,9,6,4,4,5,5,6,3,2,2,5,9,7
100990026,2020,41,11.7,3,7,17,3,1,3,2,2,1,2,2,0,1,2,1,0,3,4,3,2,2,2,1,0,2,1,1
200390105,2019,26,5.3,7,14,22,7,3,4,1,2,1,0,3,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0
106090061,2019,41,9.5,7,9,24,7,2,0,4,1,2,1,2,2,3,4,0,0,1,2,3,1,1,2,1,0,2,0,0
108690161,2019,31,8.2,5,8,19,5,1,2,7,0,1,1,1,0,1,0,3,3,1,1,1,0,0,1,1,0,0,1,0
107890030,2019,41,10.5,6,10,20,6,4,0,3,1,1,0,2,1,2,1,2,1,4,3,1,2,0,1,3,0,0,1,2
101190341,2019,62,6.3,15,30,48,15,8,7,4,0,7,1,1,2,3,3,0,3,1,1,1,0,1,1,0,0,3,0,0
101150977,2019,72,6.5,14,26,57,14,6,6,5,4,5,8,5,2,2,2,4,1,1,1,1,2,1,0,0,2,0,0,0
200390106,2019,5,4.0,2,3,4,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
101451981,2019,1538,2.7,788,1292,1452,788,402,102,56,40,19,19,10,9,7,13,8,7,7,6,5,4,4,6,7,5,4,4,6
103650657,2019,62,8.1,7,21,42,7,8,6,7,4,4,3,1,1,1,2,2,1,0,2,4,0,2,1,2,0,1,2,1
206552035,2019,35,5.1,5,19,31,5,9,5,3,3,3,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0
100990026,2019,41,7.5,11,14,30,11,1,2,3,1,5,0,2,3,2,1,1,0,2,2,0,0,2,1,1,0,0,0,1
200350923,2019,3,6.7,0,0,3,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110290120,2019,31,6.4,10,16,22,10,3,3,1,0,1,1,1,2,0,3,1,0,2,0,1,0,1,0,0,0,0,1,0
202552162,2019,38,6.3,9,16,31,9,6,1,4,3,2,2,1,1,2,0,0,0,0,2,2,0,1,1,0,0,0,1,0
101051376,2019,2307,2.7,1537,1922,2161,1537,259,126,66,45,35,32,24,17,20,16,21,14,13,9,5,7,6,9,9,3,6,18,10
206552026,2019,5,7.2,0,1,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
103390149,2019,52,8.8,5,16,34,5,7,4,2,4,4,2,3,0,3,1,1,2,4,1,1,0,2,1,1,0,1,1,2
207650874,2019,24,6.1,3,7,21,3,2,2,3,2,2,1,4,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
200350941,2019,2,3.5,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107351046,2019,62,8.9,10,23,38,10,5,8,2,3,0,2,2,3,3,4,2,3,1,1,1,1,0,0,5,4,1,0,1
207650829,2019,3,2.0,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207650838,2019,3,6.3,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
105650969,2019,185,3.9,89,136,166,89,30,17,5,6,3,6,1,5,4,3,0,4,2,0,0,2,1,1,0,0,2,1,3
202552153,2019,4,5.3,1,2,4,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
206552044,2019,10,4.6,0,5,10,0,1,4,0,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107690154,2019,47,9.6,10,15,29,10,2,3,1,0,1,4,3,3,2,1,1,0,2,2,2,2,0,3,0,0,2,2,1
108990307,2024,32,9.4,2,6,20,2,3,1,3,1,3,3,2,0,2,2,1,1,0,1,1,2,1,0,0,1,0,1,1
107310473,2024,31,6.8,4,12,24,4,5,3,1,4,0,3,2,0,2,0,0,1,2,2,1,0,0,0,0,1,0,0,0
103730146,2024,32,6.4,10,10,27,10,0,0,2,2,4,2,2,3,2,0,0,1,0,2,2,0,0,0,0,0,0,0,0
102710387,2024,32,6.7,3,9,27,3,3,3,3,4,2,2,2,3,2,0,0,2,2,0,0,0,0,0,0,0,1,0,0
300290443,2024,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101490475,2024,31,6.7,3,12,25,3,4,5,1,3,3,0,3,2,1,1,1,0,0,1,0,0,2,0,1,0,0,0,0
107310446,2024,32,7.3,4,9,25,4,4,1,4,2,3,2,1,4,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0
101370270,2024,32,9.3,5,9,19,5,3,1,1,1,4,1,1,1,1,3,1,0,0,1,1,2,0,1,2,0,0,1,1
102790287,2024,1,2.0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101290082,2024,32,10.0,3,6,18,3,3,0,1,4,2,1,1,2,1,1,3,0,0,2,3,0,1,0,1,1,0,1,1
109490337,2024,32,8.8,2,9,20,2,4,3,1,2,2,0,3,2,1,1,1,1,3,2,1,0,1,0,0,2,0,0,0
