program_code,year,placed_pref_uni_devlet_count,placed_pref_uni_vakif_count,placed_pref_uni_kktc_count,placed_pref_uni_yurt_disi_count
209210080,2023,13,25,0,0
207450522,2023,13,117,0,0
208150188,2023,160,345,2,0
107050218,2023,510,19,0,0
103150017,2023,825,66,2,0
112910010,2023,618,78,0,0
109252993,2023,1037,25,0,0
106150583,2023,1317,12,0,0
205850206,2023,38,68,0,0
102190030,2023,561,1,2,0
208150152,2023,9,14,4,0
201450028,2023,29,64,0,1
102551305,2023,1347,97,5,0
112070694,2023,402,32,1,0
201250709,2023,17,74,0,0
101150853,2023,579,49,0,0
206850672,2023,13,96,0,0
105651058,2023,542,191,1,0
111750659,2023,550,67,0,0
107250525,2023,440,114,2,0
105350875,2023,497,12,0,0
204050023,2023,23,24,0,0
300350491,2023,68,27,114,0
205052485,2023,102,719,2,0
202353108,2023,19,98,0,0
103650012,2023,825,20,0,0
205550448,2023,10,19,0,0
104790037,2023,1149,14,0,0
203150325,2023,186,572,0,0
202390591,2023,60,441,3,0
202390584,2023,96,340,7,1
202453576,2023,16,42,0,0
101370256,2023,1065,22,1,0
210200101,2023,12,13,0,0
107690200,2023,643,24,0,0
202751647,2023,99,902,2,0
205850515,2023,146,442,4,0
206290197,2023,92,397,0,0
301390109,2023,81,75,119,0
210200108,2023,308,235,9,1
103050778,2023,599,19,0,0
210300101,2023,21,68,0,0
107050254,2023,857,13,1,0
300150509,2023,38,29,40,0
106870265,2023,563,13,0,0
106951697,2023,537,61,0,0
107790206,2023,87,0,0,0
206250457,2023,25,48,0,0
210300108,2023,125,585,7,0
202550696,2023,15,37,0,0
201290334,2023,174,558,11,0
300850089,2023,0,0,17,0
300150493,2023,41,4,71,0
109950257,2023,512,81,1,0
202453567,2023,28,132,0,0
208910010,2023,205,406,16,0
300850105,2023,213,83,105,0
300250492,2023,26,4,39,0
208910011,2023,44,33,0,0
202454556,2023,98,316,0,0
107390118,2023,679,5,0,0
300250474,2023,61,54,51,0
204150755,2023,20,61,0,0
108190131,2023,545,3,0,0
202752769,2022,90,506,1,0
103290212,2022,902,11,0,0
103650012,2022,895,3,0,0
101090558,2022,448,16,0,0
112070694,2022,571,18,3,0
205850515,2022,205,258,0,0
108950224,2022,946,35,0,0
100770987,2022,544,35,4,0
206410608,2022,262,231,6,0
207450549,2022,194,588,3,0
206410606,2022,54,51,0,0
107050218,2022,595,68,0,0
208550015,2022,74,48,0,0
208550033,2022,246,336,10,0
106870265,2022,905,16,0,0
106951697,2022,615,56,0,0
208590074,2022,79,122,15,0
102790217,2022,786,61,3,0
201290334,2022,143,628,0,0
112370767,2022,475,13,0,0
201650017,2022,169,311,0,0
201650044,2022,11,89,0,0
201650026,2022,41,27,0,0
106450598,2022,1268,4,0,0
104790050,2022,1282,22,2,0
201450037,2022,116,472,0,0
109272246,2022,1053,17,1,0
201050456,2022,345,330,9,0
105951028,2022,809,33,0,0
106150583,2022,1407,31,0,0
205550439,2022,44,159,3,0
201450082,2022,23,132,0,0
207450876,2022,13,34,0,0
112910010,2022,764,65,0,2
207450522,2022,13,123,0,0
201290288,2022,47,89,6,0
201450028,2022,31,111,0,0
201250709,2022,23,113,0,0
107250525,2022,482,151,0,0
201450091,2022,127,439,1,0
202353108,2022,38,79,0,0
202751647,2022,215,693,0,0
202453576,2022,39,84,0,0
109950257,2022,833,94,0,0
202456313,2022,12,42,0,0
200790565,2022,176,796,3,0
200751556,2022,21,47,0,0
202353117,2022,149,608,4,0
103990106,2022,439,1,0,0
200790509,2022,195,431,3,0
202550696,2022,23,47,0,0
202453567,2022,21,119,0,3
202454556,2022,57,351,0,0
105290034,2022,1267,4,0,0
101290073,2022,861,2,0,0
202550703,2022,119,523,0,0
201790263,2022,34,61,0,0
101690103,2022,836,7,0,0
202752751,2022,26,82,1,1
202751595,2022,28,145,0,0
208750166,2022,112,999,0,0
101850264,2022,1323,15,0,0
203050829,2022,45,97,0,0
203150316,2022,43,81,0,0
100890075,2022,465,14,0,0
204590390,2022,158,652,1,0
204551194,2022,37,99,0,0
204590391,2022,7,16,0,0
204751871,2022,77,395,0,0
102790186,2022,929,31,0,0
109850725,2022,847,2,0,0
208150161,2022,21,33,0,0
100751363,2022,645,17,0,0
200390120,2022,283,255,5,0
110670119,2022,733,3,0,0
206850706,2022,37,60,0,0
104370801,2022,1489,12,0,0
205052961,2022,24,74,0,0
205052476,2022,20,116,0,0
301390061,2022,158,21,111,0
105370313,2022,865,3,1,0
208450316,2022,26,81,0,0
208450307,2022,83,654,9,1
300550568,2022,136,42,118,1
106470496,2022,1073,11,0,0
203550375,2022,118,270,6,0
206050847,2022,48,116,0,1
206050856,2022,20,14,0,0
204050032,2022,200,141,0,0
300590394,2022,114,50,122,0
206050874,2022,120,184,0,0
108750544,2022,1047,24,0,0
108251017,2022,805,11,1,0
104351443,2022,1254,19,0,0
203550384,2022,38,27,0,0
104390105,2022,552,1,0,0
201150076,2022,64,186,1,0
109590015,2022,754,5,0,0
102350381,2022,1089,0,0,0
102090060,2022,696,0,0,0
110390142,2022,1558,41,7,0
300150518,2022,61,14,59,0
203590177,2022,52,63,4,0
106650578,2022,631,64,0,0
101290070,2022,1062,6,6,0
103350775,2022,1295,34,0,0
201150067,2022,16,41,0,0
204190553,2022,77,520,5,0
200351709,2022,35,17,0,0
204150755,2022,44,70,0,0
109870235,2022,933,18,0,0
102890079,2022,1347,12,0,0
109970207,2022,789,134,0,0
106170287,2022,1554,13,4,0
205850199,2022,11,92,0,0
