program_code,year,university_type_id,placed_pref_count
300450154,2020,1,63
203051121,2020,1,88
300390281,2020,1,0
110670134,2020,1,544
107390118,2020,1,805
200752678,2020,1,19
208910010,2020,1,195
107790206,2020,1,344
105350875,2020,1,639
111750659,2020,1,783
101150853,2020,1,623
209210080,2020,1,65
110910106,2020,1,76
101150862,2020,1,427
200290149,2020,1,187
200651857,2020,1,29
200651848,2020,1,7
200690348,2020,1,35
101370256,2020,1,990
102190030,2020,1,606
105190068,2020,1,487
103050778,2020,1,848
103990106,2020,1,509
103650012,2020,1,884
205850515,2020,1,128
100770987,2020,1,541
206410608,2020,1,147
206410606,2020,1,43
208550015,2020,1,62
208550033,2020,1,428
102790217,2020,1,693
101451724,2020,1,13586
101050775,2020,1,7211
201650017,2020,1,207
201650044,2020,1,11
104790050,2020,1,1015
109272246,2020,1,868
201050456,2020,1,297
201050438,2020,1,19
205550439,2020,1,13
207450876,2020,1,8
207450522,2020,1,30
207450513,2020,1,1
201290288,2020,1,0
201290238,2020,1,120
201250709,2020,1,21
201450091,2020,1,70
202353108,2020,1,24
202453576,2020,1,11
202456313,2020,1,21
200751556,2020,1,14
202550696,2020,1,19
201751226,2020,1,0
201751244,2020,1,20
202752769,2020,1,103
202751647,2020,1,120
107250525,2020,1,439
112910010,2020,1,701
105951028,2020,1,768
106450598,2020,1,1127
106951697,2020,1,548
107050218,2020,1,689
108950224,2020,1,1238
103290212,2020,1,566
106051352,2020,1,1313
107690200,2020,1,746
108190131,2020,1,740
203150979,2020,1,17
203150988,2020,1,65
203150325,2020,1,88
204551776,2020,1,11
204590389,2020,1,0
204751862,2020,1,9
208150188,2020,1,80
208150152,2020,1,11
206850672,2020,1,49
206850715,2020,1,45
205052485,2020,1,106
205052979,2020,1,81
105690478,2020,1,9489
206290197,2020,1,37
206250457,2020,1,11
208910011,2020,1,28
204150755,2020,1,18
204150904,2020,1,122
203590177,2020,1,96
203550384,2020,1,27
206050874,2020,1,97
206050847,2020,1,66
106470496,2020,1,1269
107090077,2020,1,710
105370313,2020,1,857
104370801,2020,1,1189
200390120,2020,1,90
109850725,2020,1,812
101850264,2020,1,1032
101690103,2020,1,578
101290073,2020,1,658
105290034,2020,1,1208
109950257,2020,1,701
106150583,2020,1,1243
106870265,2020,1,497
102370173,2020,1,1198
101870205,2020,1,1441
103390114,2020,1,1094
300350331,2020,1,33
300350491,2020,1,13
300850089,2020,1,36
300150518,2020,1,1
300590394,2020,1,14
300550568,2020,1,88
301390061,2020,1,85
101370256,2019,1,930
102370173,2019,1,1304
106051352,2019,1,1489
208750192,2019,1,133
200690348,2019,1,27
200690349,2019,1,23
201050447,2019,1,23
107690200,2019,1,715
200651848,2019,1,23
200651866,2019,1,33
200651857,2019,1,18
201050465,2019,1,144
200290139,2019,1,37
200290149,2019,1,32
203051139,2019,1,20
101150862,2019,1,426
101150853,2019,1,746
109490179,2019,1,794
203150979,2019,1,17
111750659,2019,1,892
105350875,2019,1,671
101870205,2019,1,1303
203150988,2019,1,52
107790206,2019,1,407
107390118,2019,1,936
110670134,2019,1,579
103390114,2019,1,1115
203150325,2019,1,97
203051121,2019,1,42
301010205,2019,1,15
107050254,2019,1,943
204551776,2019,1,4
300450154,2019,1,62
103550967,2019,1,739
300250508,2019,1,0
204050014,2019,1,169
204551819,2019,1,134
206850681,2019,1,2
203350165,2019,1,4
208750165,2019,1,20
202456331,2019,1,105
200651875,2019,1,24
204751862,2019,1,46
204770083,2019,1,2
208150188,2019,1,45
207451123,2019,1,3
109252993,2019,1,841
205850206,2019,1,30
300250517,2019,1,10
200690346,2019,1,17
300450233,2019,1,0
102551305,2019,1,1128
106490148,2019,1,1167
208150152,2019,1,6
203350059,2019,1,66
203350420,2019,1,8
108970185,2019,1,1131
204050023,2019,1,65
208450742,2019,1,1
103150017,2019,1,935
206850672,2019,1,30
203350174,2019,1,17
202751586,2019,1,4
105651058,2019,1,654
206850715,2019,1,8
206870067,2019,1,45
200751247,2019,1,25
201450116,2019,1,0
205550448,2019,1,21
200690347,2019,1,0
205052485,2019,1,135
104790037,2019,1,1104
101370265,2019,1,691
300350331,2019,1,58
205052979,2019,1,65
301010203,2019,1,65
300351011,2019,1,77
105690478,2019,1,9036
301010204,2019,1,6
300550453,2019,1,15
300150509,2019,1,4
201650035,2019,1,21
206290197,2019,1,23
300150493,2019,1,14
300450145,2019,1,3
300250492,2019,1,53
103670149,2019,1,987
206250457,2019,1,8
300250474,2019,1,1
208590032,2019,1,9
106170287,2019,1,1526
109970207,2019,1,983
208910011,2019,1,33
109870235,2019,1,1017
200351709,2019,1,25
203851697,2019,1,13
300550568,2019,1,59
204150755,2019,1,31
203851688,2019,1,49
103350775,2019,1,1053
101290070,2019,1,771
300350491,2019,1,0
204150904,2019,1,70
106650578,2019,1,812
110390142,2019,1,1367
102350381,2019,1,1275
300450163,2019,1,26
109590015,2019,1,666
104351443,2019,1,1219
108251017,2019,1,779
300850098,2019,1,13
203550384,2019,1,20
108750544,2019,1,1008
204050032,2019,1,158
206050865,2019,1,10
206410607,2019,1,37
206050874,2019,1,35
206050856,2019,1,8
203550375,2019,1,176
208910064,2019,1,317
205850199,2019,1,46
206050847,2019,1,62
208450743,2019,1,8
208450307,2019,1,101
201150067,2019,1,28
106470496,2019,1,1222
208450316,2019,1,61
102090060,2019,1,523
107090077,2019,1,745
205052476,2019,1,24
205052961,2019,1,13
300850089,2019,1,12
105370313,2019,1,815
203851713,2019,1,93
203851704,2019,1,68
108770354,2019,1,965
206850706,2019,1,0
206870066,2019,1,126
300190384,2019,1,30
104370801,2019,1,1412
200351693,2019,1,79
203350041,2019,1,13
203350421,2019,1,18
208150179,2019,1,0
201150085,2019,1,20
208150161,2019,1,18
204770092,2019,1,8
204751871,2019,1,33
201150076,2019,1,77
109850725,2019,1,862
204551194,2019,1,16
204551828,2019,1,178
203150316,2019,1,34
203050829,2019,1,5
208750166,2019,1,24
202751595,2019,1,32
102790186,2019,1,904
101850264,2019,1,1053
202752751,2019,1,3
201751235,2019,1,16
202550703,2019,1,38
101451503,2019,1,832
101690103,2019,1,867
200752757,2019,1,81
200790419,2019,1,1
200752748,2019,1,53
300150518,2019,1,21
101290073,2019,1,742
200751256,2019,1,6
202454556,2019,1,17
202453567,2019,1,10
104251232,2019,1,769
105290034,2019,1,1285
202353117,2019,1,64
202353126,2019,1,3
201450028,2019,1,23
100751363,2019,1,783
109950257,2019,1,866
202550696,2019,1,6
201450082,2019,1,17
201751226,2019,1,9
201450037,2019,1,65
201751244,2019,1,57
202751656,2019,1,1
200751556,2019,1,19
202456313,2019,1,1
201250718,2019,1,96
202752769,2019,1,56
202790411,2019,1,73
202453576,2019,1,10
110670119,2019,1,763
202353108,2019,1,5
201450091,2019,1,75
202751647,2019,1,201
201450107,2019,1,10
201250709,2019,1,12
207450513,2019,1,3
